Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Adjustment Count P2
1,0,1,1,20,0.4,0.6,False,True,3,11,0,0,62,-73,0,0,4.3520286408586326e-80,3.298237614602676e-66,0
2,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2514494,-2514505,0,0,0.0,0.0,0
3,0,1,1,20,0.4,0.6,False,True,2,6,0,0,1268,-1280,0,0,1.3338425095014326e-84,2.823494477129341e-48,0
4,0,0,1,20,0.0,1.0,False,True,4,10,0,5,3770907,-3770919,0,281000,3.9911674353656496e-71,3.9911674353656496e-71,0
5,0,1,1,20,0.95,0.05,False,True,9,11,0,0,-753600,752952,0,0,4.062721588001565e-63,2.64603245057386e-96,0
6,0,0,0,20,0.0,1.0,False,True,4,10,0,4,3515680,-3515690,0,265000,0.0,0.0,0
7,0,0,0,20,1.0,0.0,True,False,10,11,0,0,-1005166,1005156,0,0,9.090376588332819e-198,9.090376588332819e-198,0
8,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2511189,-2511200,0,0,0.0,0.0,0
9,0,0,2,20,0.0,1.0,False,True,4,11,0,0,3520141,-3520152,0,0,5.803407583571009e-74,4.218736784815238e-59,0
10,0,1,1,20,0.4,0.6,False,True,2,11,0,0,1003437,-1003450,0,0,1.7827072920585857e-84,6.973336253553674e-49,0
11,0,1,1,20,0.25,0.75,False,True,4,6,0,0,1204,-1219,0,0,4.766919479987137e-97,1.9983249278001792e-67,0
12,0,0,1,20,1.0,0.0,True,False,3,5,0,0,-2772,2752,0,0,2.6190025990993807e-06,2.6190025990993807e-06,0
13,0,1,1,20,0.25,0.75,False,True,9,11,3,0,1003978,-1003996,178000,0,4.0243239719610186e-107,1.7208399107538063e-82,0
14,0,0,0,20,1.0,0.0,True,False,10,11,0,0,-502958,502309,0,0,4.754897948217498e-244,1.340463740244888e-194,0
15,0,1,1,20,0.6,0.4,False,True,9,11,0,2,250274,-250286,0,108000,1.2803232313292793e-68,1.1991821736357432e-67,0
16,0,1,1,20,0.85,0.15,False,True,9,11,0,0,-251646,251640,0,0,2.394760795779427e-93,1.792047081535675e-80,0
17,0,1,1,20,0.25,0.75,False,True,1,11,0,0,3261528,-3261543,0,0,2.541627083031504e-104,1.6990452073095765e-123,0
18,0,0,1,20,0.0,1.0,False,True,4,11,0,0,3017937,-3017950,0,0,6.450806165547435e-44,2.6924308260277758e-89,0
19,0,1,1,20,0.3,0.7,False,True,1,11,0,0,3261428,-3261442,0,0,4.872753998086447e-105,3.62676706707173e-117,0
20,0,0,0,20,0.0,1.0,False,True,4,11,0,0,1759738,-1759749,0,0,0.0,0.0,0
21,0,1,2,20,0.2,0.8,False,True,2,11,0,0,2508212,-2508227,0,0,2.1005004089892656e-69,8.772301016696267e-31,0
22,0,0,0,20,0.0,1.0,False,True,10,11,0,0,1758184,-1758194,0,0,0.0,0.0,0
23,0,0,0,20,0.0,1.0,False,True,10,11,0,0,2008833,-2008844,0,0,0.0,0.0,0
24,0,1,1,20,0.3,0.7,False,True,3,6,0,0,1268,-1278,0,0,1.0338412520919654e-117,1.3694399130257085e-87,0
25,0,0,0,20,0.0,1.0,False,True,4,11,0,0,3767644,-3767654,0,0,0.0,0.0,0
26,0,0,0,20,0.0,1.0,False,True,4,11,0,0,1007950,-1007961,0,0,0.0,0.0,0
27,0,0,1,20,0.0,1.0,False,True,3,11,0,0,502622,-502630,0,0,1.3882900106851432e-71,2.20593705183409e-122,0
28,0,1,1,20,0.2,0.8,False,True,4,11,0,0,752754,-752764,0,0,5.032110233335854e-84,4.45023908417766e-68,0
29,0,1,1,20,0.95,0.05,False,True,3,11,0,0,-3041,3023,0,0,3.7264875768116684e-67,3.7264875768116684e-67,0
